Time	EMG	Muscle Force
0	0	0.280341
0.001	0	0.280341
0.002	0	0.280341
0.003	0	0.280341
0.004	0	0.279967
0.005	0	0.279967
0.006	0	0.279967
0.007	0	0.279967
0.008	0	0.279967
0.009	0	0.279594
0.01	0	0.279594
0.011	0	0.27922
0.012	0	0.27922
0.013	0	0.27922
0.014	0	0.27922
0.015	0	0.278847
0.016	0	0.278847
0.017	0	0.278847
0.018	0	0.278473
0.019	0	0.278473
0.02	0	0.278473
0.021	0	0.278473
0.022	0	0.278099
0.023	0	0.278099
0.024	0	0.278099
0.025	0	0.278099
0.026	0	0.278099
0.027	0	0.277726
0.028	0	0.277726
0.029	0	0.277726
0.03	0	0.277726
0.031	0	0.277726
0.032	0	0.277726
0.033	0	0.277352
0.034	0	0.277352
0.035	0	0.277352
0.036	0	0.277352
0.037	0	0.277352
0.038	0	0.277352
0.039	0	0.277352
0.04	0	0.277352
0.041	0	0.277352
0.042	0	0.276978
0.043	0	0.276978
0.044	0	0.276978
0.045	0	0.276978
0.046	0	0.276978
0.047	0	0.276978
0.048	0	0.276978
0.049	0	0.276978
0.05	0	0.276978
0.051	-0.0687908	0.276978
0.052	-0.0650336	0.276978
0.053	-0.0111641	0.276978
0.054	0.0321675	0.276978
0.055	0.0825187	0.276978
0.056	0.154864	0.276978
0.057	0.0511992	0.276978
0.058	-0.0823613	0.276978
0.059	-0.147136	0.276978
0.06	-0.120485	0.276978
0.061	-0.0516782	0.276978
0.062	0.0992313	0.276978
0.063	0.14248	0.276978
0.064	0.0852644	0.276978
0.065	-0.00502862	0.276978
0.066	-0.0506121	0.276978
0.067	-0.0545123	0.276978
0.068	-0.0751098	0.276978
0.069	-0.0189064	0.276605
0.07	0.0350492	0.276978
0.071	0.00927732	0.276978
0.072	-0.0111021	0.276978
0.073	0.0814229	0.276978
0.074	0.0809578	0.276978
0.075	-0.0348389	0.276978
0.076	-0.118764	0.276978
0.077	-0.0200199	0.276978
0.078	0.0261463	0.276605
0.079	0.0220048	0.276605
0.08	0.0564177	0.276605
0.081	-0.0110867	0.276605
0.082	-0.0576552	0.276605
0.083	-0.0167266	0.276605
0.084	0.0574159	0.276605
0.085	0.0153559	0.276605
0.086	-0.0445035	0.276978
0.087	-0.00783555	0.276978
