Time	EMG	Muscle Force
0	0	0.280341
0.001	0	0.280341
0.002	0	0.280341
0.003	0	0.279967
0.004	0	0.279967
0.005	0	0.279967
0.006	0	0.279967
0.007	0	0.279967
0.008	0	0.279594
0.009	0	0.279594
0.01	0	0.27922
0.011	0	0.27922
0.012	0	0.27922
0.013	0	0.278847
0.014	0	0.278847
0.015	0	0.278847
0.016	0	0.278473
0.017	0	0.278473
0.018	0	0.278473
0.019	0	0.278473
0.02	0	0.278099
0.021	0	0.278099
0.022	0	0.278099
0.023	0	0.277726
0.024	0	0.277726
0.025	0	0.277726
0.026	0	0.277726
0.027	0	0.277352
0.028	0	0.277352
0.029	0	0.277352
0.03	0	0.277352
0.031	0	0.277352
0.032	0	0.277352
0.033	0	0.276978
0.034	0	0.276978
0.035	0	0.276978
0.036	0	0.276978
0.037	0	0.276978
0.038	0	0.276978
0.039	0	0.276978
0.04	0	0.276978
0.041	0	0.276605
0.042	0	0.276978
0.043	0	0.276605
0.044	0	0.276605
0.045	0	0.276605
0.046	0	0.276605
0.047	0	0.276605
0.048	0	0.276605
0.049	0	0.276605
0.05	0	0.276605
0.051	0.111236	0.276605
0.052	0.0569764	0.276605
0.053	-0.0622806	0.276605
0.054	-0.152494	0.276605
0.055	0.00680173	0.276605
0.056	0.11485	0.276605
0.057	0.0632284	0.276605
0.058	-0.0243858	0.276605
0.059	-0.0808622	0.276605
0.06	-0.0611956	0.276605
0.061	0.0296825	0.276605
0.062	0.136176	0.276605
0.063	0.0452348	0.276605
0.064	-0.120633	0.276605
0.065	-0.108322	0.276605
0.066	0.0154432	0.276605
0.067	0.0873749	0.276605
0.068	0.0910454	0.276605
0.069	0.0108189	0.276605
0.07	-0.111532	0.276605
0.071	-0.119333	0.276605
0.072	0.0706327	0.276605
0.073	0.109576	0.276605
0.074	0.0322711	0.276605
0.075	-0.0530977	0.276605
0.076	-0.0930592	0.276605
0.077	-0.0404132	0.276605
0.078	0.0726103	0.276605
0.079	0.146984	0.276605
0.08	-0.0270809	0.276605
0.081	-0.135084	0.276605
0.082	-0.072467	0.276605
0.083	0.0433278	0.276605
0.084	0.094283	0.276605
0.085	0.0675409	0.276605
0.086	-0.0263192	0.276605
0.087	-0.136855	0.276605
0.088	-0.0557693	0.276605
